EventType,Time,AccountId,X,Y,IsGame
LogPlayerCreate,1538167014532,account.19c4e68e8ba648d5808425807ebb569b,85046.27,732240.8,0.0
LogPlayerLogin,1538167014533,account.c063f69c171b4de2b8d4bd405d7c7d4b,0.0,0.0,0.0
LogPlayerCreate,1538167014556,account.c063f69c171b4de2b8d4bd405d7c7d4b,490769.25,634400.8,0.0
LogPlayerLogin,1538167014559,account.72bb9b59202c40cbb37ef820f434a330,0.0,0.0,0.0
LogPlayerCreate,1538167014577,account.72bb9b59202c40cbb37ef820f434a330,489696.16,634152.56,0.0
LogPlayerLogin,1538167014577,account.7980f71efa0a4d2391f941720ace4326,0.0,0.0,0.0
LogPlayerCreate,1538167014596,account.7980f71efa0a4d2391f941720ace4326,84218.24,732188.5,0.0
LogPlayerLogin,1538167014597,account.b98ff2e52c124950921b776688ed4de0,0.0,0.0,0.0
LogPlayerCreate,1538167014619,account.b98ff2e52c124950921b776688ed4de0,490766.97,634480.75,0.0
LogPlayerLogin,1538167014621,account.6592d11f6ea541f4ae7d50fddb1ebfba,0.0,0.0,0.0
LogPlayerCreate,1538167014637,account.6592d11f6ea541f4ae7d50fddb1ebfba,83663.734,733156.7,0.0
LogPlayerLogin,1538167014638,account.823788e851224330b59b44a27da95662,0.0,0.0,0.0
LogPlayerCreate,1538167014655,account.823788e851224330b59b44a27da95662,491288.12,633168.1,0.0
LogPlayerLogin,1538167014657,account.a0692029650b42e18edf5c7d1ef21ccb,0.0,0.0,0.0
LogPlayerCreate,1538167014677,account.a0692029650b42e18edf5c7d1ef21ccb,491233.94,633544.44,0.0
LogPlayerLogin,1538167014679,account.7d6e1c91a0234114ac1a55071430fc0d,0.0,0.0,0.0
LogPlayerCreate,1538167014701,account.7d6e1c91a0234114ac1a55071430fc0d,790211.56,341606.47,0.0
LogPlayerLogin,1538167014722,account.fe61ad39b91041898aaa462eb09c735f,0.0,0.0,0.0
LogPlayerCreate,1538167014743,account.fe61ad39b91041898aaa462eb09c735f,791149.3,341670.25,0.0
LogPlayerLogin,1538167014848,account.b8b47abb0d894a139a573727858ac85a,0.0,0.0,0.0
LogPlayerCreate,1538167014868,account.b8b47abb0d894a139a573727858ac85a,82437.18,731955.7,0.0
LogPlayerLogin,1538167014930,account.48b535bcf85a485b9e1cb139a88d579a,0.0,0.0,0.0
LogPlayerCreate,1538167014957,account.48b535bcf85a485b9e1cb139a88d579a,83469.07,732597.8,0.0
LogPlayerLogin,1538167014997,account.3634898d2749466cb707c745863ad143,0.0,0.0,0.0
LogPlayerCreate,1538167015019,account.3634898d2749466cb707c745863ad143,82155.805,732965.1,0.0
LogPlayerLogin,1538167015181,account.a4a576f4eeaa47d2868da7cf87b3d36f,0.0,0.0,0.0
LogPlayerCreate,1538167015208,account.a4a576f4eeaa47d2868da7cf87b3d36f,84342.516,731721.75,0.0
LogPlayerLogin,1538167015425,account.58d9b0de1b44427187ce530854f578ec,0.0,0.0,0.0
LogPlayerCreate,1538167015448,account.58d9b0de1b44427187ce530854f578ec,82432.42,732844.4,0.0
LogPlayerLogin,1538167015708,account.5df53cd7d6e44612aaccbb0e1cd8c33c,0.0,0.0,0.0
LogPlayerCreate,1538167015730,account.5df53cd7d6e44612aaccbb0e1cd8c33c,84630.61,731311.5,0.0
LogPlayerLogin,1538167016735,account.5a2c714ab3ef4c868835e892caa42bf0,0.0,0.0,0.0
LogPlayerCreate,1538167016749,account.5a2c714ab3ef4c868835e892caa42bf0,490613.47,633913.4,0.0
LogPlayerLogin,1538167016750,account.6e355a6142e14498b7a42386ea18a04c,0.0,0.0,0.0
LogPlayerCreate,1538167016763,account.6e355a6142e14498b7a42386ea18a04c,789814.0,341710.78,0.0
LogPlayerLogin,1538167016764,account.d22b2c9e45a94393ba2561143d480eb2,0.0,0.0,0.0
LogPlayerCreate,1538167016778,account.d22b2c9e45a94393ba2561143d480eb2,790936.06,341111.94,0.0
LogPlayerLogin,1538167017181,account.372e2dafa5bc45f5872e111a268ec786,0.0,0.0,0.0
LogPlayerCreate,1538167017198,account.372e2dafa5bc45f5872e111a268ec786,789797.06,341632.6,0.0
LogPlayerLogin,1538167017231,account.217f18b21a114fb8a1d84e0c60d11e0e,0.0,0.0,0.0
LogPlayerCreate,1538167017251,account.217f18b21a114fb8a1d84e0c60d11e0e,790935.9,341824.75,0.0
LogPlayerLogin,1538167017349,account.abd1d3543d104fb88dbb7ed2ef8f106e,0.0,0.0,0.0
LogPlayerCreate,1538167017361,account.abd1d3543d104fb88dbb7ed2ef8f106e,489850.3,633011.7,0.0
LogPlayerLogin,1538167017723,account.041ba9c1e950465c843ba223b0e9cc4a,0.0,0.0,0.0
LogPlayerCreate,1538167017748,account.041ba9c1e950465c843ba223b0e9cc4a,490524.75,633045.94,0.0
LogPlayerLogin,1538167017883,account.99d94baa7b444248874e4861902f7efc,0.0,0.0,0.0
LogPlayerCreate,1538167017903,account.99d94baa7b444248874e4861902f7efc,82742.0,732197.1,0.0
LogPlayerLogin,1538167018244,account.8ceb06cccee44176a77ec4482b7310bd,0.0,0.0,0.0
LogPlayerCreate,1538167018274,account.8ceb06cccee44176a77ec4482b7310bd,790492.8,342047.4,0.0
LogPlayerLogin,1538167018446,account.33901cb81e6e4fe480f5f9fb37ce6c5f,0.0,0.0,0.0
LogPlayerCreate,1538167018464,account.33901cb81e6e4fe480f5f9fb37ce6c5f,791266.8,340632.94,0.0
LogPlayerLogin,1538167018696,account.6f136513d7b34d0296516284108ecbbb,0.0,0.0,0.0
LogPlayerCreate,1538167018712,account.6f136513d7b34d0296516284108ecbbb,490160.97,632603.6,0.0
LogPlayerLogin,1538167019122,account.61431ed859fe4a44961b86035ad24726,0.0,0.0,0.0
LogPlayerCreate,1538167019137,account.61431ed859fe4a44961b86035ad24726,490581.44,633811.9,0.0
LogPlayerLogin,1538167019400,account.8b6c61d8f84242d2924c20fcf1911ded,0.0,0.0,0.0
LogPlayerCreate,1538167019416,account.8b6c61d8f84242d2924c20fcf1911ded,489566.6,633736.5,0.0
LogPlayerLogin,1538167019589,account.91120ae47a154d43b28c6cc4151ae85f,0.0,0.0,0.0
LogPlayerCreate,1538167019605,account.91120ae47a154d43b28c6cc4151ae85f,789810.2,340885.06,0.0
LogPlayerLogin,1538167020033,account.69ec60d70f8d4d108ee0830ee5bee1f8,0.0,0.0,0.0
LogPlayerCreate,1538167020045,account.69ec60d70f8d4d108ee0830ee5bee1f8,84223.25,730744.7,0.0
LogPlayerLogin,1538167020094,account.7fb1ae9f05e347f2925a4866bfddf2d3,0.0,0.0,0.0
LogPlayerCreate,1538167020115,account.7fb1ae9f05e347f2925a4866bfddf2d3,84327.984,730946.25,0.0
LogPlayerLogin,1538167020816,account.8ca6f89e92b14cc78155a1cf8ba20c87,0.0,0.0,0.0
LogPlayerCreate,1538167020844,account.8ca6f89e92b14cc78155a1cf8ba20c87,84443.59,731626.56,0.0
LogPlayerLogin,1538167021407,account.4e2213f17fb14327b2d6fe9a09dc89b9,0.0,0.0,0.0
LogPlayerCreate,1538167021427,account.4e2213f17fb14327b2d6fe9a09dc89b9,83358.48,732378.44,0.0
LogPlayerLogin,1538167021429,account.5ae4037c4f4a43c09065454ced2eb3d1,0.0,0.0,0.0
LogPlayerCreate,1538167021452,account.5ae4037c4f4a43c09065454ced2eb3d1,83638.39,730563.7,0.0
LogPlayerLogin,1538167022028,account.3bd35bc801254ca79c81390d6ffab437,0.0,0.0,0.0
LogPlayerCreate,1538167022056,account.3bd35bc801254ca79c81390d6ffab437,81564.59,730502.6,0.0
LogPlayerLogin,1538167022467,account.55b6e7b121424e8f9bcc3e9f7ab31520,0.0,0.0,0.0
LogPlayerCreate,1538167022490,account.55b6e7b121424e8f9bcc3e9f7ab31520,83224.31,731356.06,0.0
LogPlayerLogin,1538167022807,account.3ecd3a553dae4d6ba4ce29281e0d2475,0.0,0.0,0.0
LogPlayerCreate,1538167022823,account.3ecd3a553dae4d6ba4ce29281e0d2475,790511.56,340994.1,0.0
LogPlayerPosition,1538167023600,account.0840cd632c2344dd8797b47448c54810,82991.766,732706.94,0.0
LogPlayerPosition,1538167023713,account.a418112c51d34450b189f9ca779953cb,490301.03,633926.75,0.0
LogPlayerPosition,1538167023713,account.69bcbb0ff4c64c98800dbe499bf2b1ec,490628.2,633613.7,0.0
LogPlayerPosition,1538167023713,account.6c19cc4a57124ec3a516e66260b2fd66,790308.94,342058.47,0.0
LogPlayerPosition,1538167023793,account.be41d13162134b1693ec0c23f9da9613,790700.7,341346.6,0.0
LogPlayerPosition,1538167023794,account.419060edb97d4a9583b79d92766c57be,790953.8,341618.3,0.0
LogPlayerPosition,1538167023867,account.506a4eeb4ff1417e85c0d08f1341e4b3,489929.75,633021.44,0.0
LogPlayerPosition,1538167024018,account.f95a0a438f96409f91d4d8926fce3e8a,790433.25,341702.78,0.0
LogPlayerPosition,1538167024018,account.8f30456d318d403b91a1ec5d2ea38af9,489928.38,633708.75,0.0
LogPlayerPosition,1538167024019,account.824598622caf42919708c2cfca52dd47,790851.44,341307.0,0.0
LogPlayerPosition,1538167024019,account.94f78b2eacbc4d009fba8c49d2c929ae,83092.234,730534.0,0.0
LogPlayerPosition,1538167024065,account.16a6d4d31378404fbfe6f9d243dd76f3,490904.03,633723.25,0.0
LogPlayerPosition,1538167024065,account.5fe330091cc24fefb6d66163992e26c4,81805.33,731988.6,0.0
LogPlayerPosition,1538167024066,account.a640ce3e8fec4cd6b9920a34b274ebe3,790399.0,341324.66,0.0
LogPlayerPosition,1538167024066,account.2c0efbc50b5c4d6890345f7af6619a98,490585.47,633988.3,0.0
LogPlayerPosition,1538167024066,account.3ca8555dfb5841e395d59fb8c08719c4,789682.1,341449.0,0.0
LogPlayerPosition,1538167024066,account.9659e3fef0ee43369b080e632fd8e156,790232.94,341439.06,0.0
LogPlayerPosition,1538167024066,account.7cb3982256fc4c6ba9f758ae22cc6b9c,790445.5,341505.4,0.0
LogPlayerPosition,1538167024066,account.c53654f414d6432ba2680e118eae6ccd,81614.89,732079.56,0.0
LogPlayerPosition,1538167024066,account.3ddc2017cb1b480a9e5e3df07f9818ee,791170.7,340666.94,0.0
LogPlayerPosition,1538167024066,account.3a89e13dfda54bcb895726595a07ca03,83702.3,733226.94,0.0
LogPlayerPosition,1538167024067,account.b7a12bf8f452474c8e47d4add686f20a,490551.9,633518.0,0.0
LogPlayerPosition,1538167024067,account.58bae4eac7344212bdae3c03f6688908,489976.62,633774.5,0.0
LogPlayerPosition,1538167024067,account.4740215882574372b5c46c60f1fdfb6d,490272.47,633744.75,0.0
LogPlayerPosition,1538167024067,account.06b961b64b60474f9ae43dc168a0e669,789830.94,341094.97,0.0
LogPlayerLogin,1538167024146,account.576da86a9cfb472a8691f1bed1ea9599,0.0,0.0,0.0
LogPlayerCreate,1538167024165,account.576da86a9cfb472a8691f1bed1ea9599,491088.06,634089.94,0.0
LogPlayerLogin,1538167024233,account.dd417a650fb44edda8df424faf96c95c,0.0,0.0,0.0
LogPlayerCreate,1538167024256,account.dd417a650fb44edda8df424faf96c95c,791153.7,342052.9,0.0
LogPlayerLogin,1538167024336,account.c525d5d0f6374731895539148d574bf1,0.0,0.0,0.0
LogPlayerCreate,1538167024357,account.c525d5d0f6374731895539148d574bf1,490785.12,633779.4,0.0
LogPlayerPosition,1538167024456,account.c2b7983759914ea9bafb440735bc8102,82208.54,731477.5,0.0
