Time,IsGame,X,Y,R,nAlive
1538167108272,0.1,406387.5,406387.5,579718.7,89
1538167118271,0.1,406387.5,406387.5,579718.7,89
1538167128255,0.1,406387.5,406387.5,579718.7,89
1538167138269,0.1,406387.5,406387.5,579718.7,89
1538167148280,0.1,406387.5,406387.5,579718.7,89
1538167158271,0.1,406387.5,406387.5,579718.7,89
1538167168280,0.1,406387.5,406387.5,579718.7,89
1538167178304,0.1,406387.5,406387.5,579718.7,89
1538167188322,0.1,406387.5,406387.5,579718.7,89
1538167198298,0.1,406387.5,406387.5,579718.7,89
1538167208353,0.1,406387.5,406387.5,579718.7,88
1538167218379,0.1,406387.5,406387.5,579718.7,88
1538167228320,1.0,406387.5,406387.5,579718.7,87
1538167238352,1.0,406387.5,406387.5,579718.7,87
1538167248297,1.0,406387.5,406387.5,579718.7,85
1538167258408,1.0,406387.5,406387.5,579718.7,85
1538167268339,1.0,406387.5,406387.5,579718.7,83
1538167278334,1.0,406387.5,406387.5,579718.7,81
1538167288320,1.0,406387.5,406387.5,579718.7,81
1538167298420,1.0,406387.5,406387.5,579718.7,81
1538167308376,1.0,406387.5,406387.5,579718.7,81
1538167318322,1.0,406387.5,406387.5,579718.7,81
1538167328391,1.0,406387.5,406387.5,579718.7,79
1538167338327,1.0,406387.5,406387.5,579718.7,76
1538167348313,1.0,406387.5,406387.5,579718.7,76
1538167358319,1.0,406387.5,406387.5,579718.7,75
1538167368307,1.0,406387.5,406387.5,579718.7,75
1538167378325,1.0,406387.5,406387.5,579718.7,75
1538167388334,1.0,406387.5,406387.5,579718.7,75
1538167398323,1.0,406387.5,406387.5,579718.7,75
1538167408290,1.0,406387.5,406387.5,579718.7,75
1538167418334,1.0,406387.5,406387.5,579718.7,75
1538167428329,1.0,406387.5,406387.5,579718.7,74
1538167438334,1.0,406387.5,406387.5,579718.7,71
1538167448325,1.0,406387.5,406387.5,579718.7,71
1538167458335,1.0,406387.5,406387.5,579718.7,70
1538167468325,1.0,406387.5,406387.5,579718.7,70
1538167478298,1.0,406387.5,406387.5,579718.7,67
1538167488292,1.0,406387.5,406387.5,579718.7,65
1538167498301,1.0,406387.5,406387.5,579718.7,65
1538167508320,1.0,406387.5,406387.5,579718.7,63
1538167518291,1.0,406387.5,406387.5,579718.7,62
1538167528293,1.5,403585.66,409381.25,568238.9,62
1538167538280,1.5,400757.03,412403.62,556649.44,62
1538167548272,1.5,397931.8,415422.34,545073.8,62
1538167558267,1.5,395101.5,418446.53,533477.3,62
1538167568298,1.5,392262.7,421479.78,521846.1,62
1538167578273,1.5,389441.06,424494.72,510285.16,62
1538167588287,1.5,386604.34,427525.7,498662.56,62
1538167598311,1.5,383772.7,430551.34,487060.5,62
1538167608297,1.5,380943.22,433574.6,475467.56,62
1538167618282,1.5,378117.4,436593.97,463889.56,62
1538167628286,1.5,375287.25,439618.0,452293.72,62
1538167638302,1.5,372454.72,442644.53,440688.2,62
1538167648306,1.5,369628.12,445664.72,429107.0,62
1538167658301,1.5,366795.53,448691.34,417501.2,62
1538167668306,1.5,363963.0,451717.9,405895.62,62
1538167678300,1.5,361136.5,454738.0,394314.88,62
1538167688303,1.5,358304.12,457764.38,382710.0,62
1538167698279,1.5,355480.34,460781.56,371140.25,62
1538167708298,1.5,352650.5,463805.22,359545.8,62
1538167718284,1.5,349819.97,466829.66,347948.38,62
1538167728282,1.5,346989.88,469853.6,336352.9,62
1538167738319,1.5,344155.2,472882.44,324738.53,62
1538167748285,1.5,341330.0,475901.16,313163.0,60
1538167758277,1.5,338502.3,478922.53,301577.28,60
1538167768312,1.5,335667.1,481951.94,289960.78,60
1538167778281,1.5,332845.0,484967.34,278398.0,60
1538167788310,1.5,330005.47,488001.38,266763.78,60
1538167798271,1.5,327185.94,491014.03,255211.44,60
1538167808321,1.5,324345.6,494048.94,243573.9,60
1538167818324,1.5,321517.1,497071.16,231984.94,60
1538167828314,2.0,321493.3,497096.56,231887.48,60
1538167838263,2.0,321493.3,497096.56,231887.48,58
1538167848309,2.0,321493.3,497096.56,231887.48,57
1538167858303,2.0,321493.3,497096.56,231887.48,55
1538167868293,2.0,321493.3,497096.56,231887.48,53
1538167878267,2.0,321493.3,497096.56,231887.48,53
1538167888307,2.0,321493.3,497096.56,231887.48,53
1538167898313,2.0,321493.3,497096.56,231887.48,52
1538167908280,2.0,321493.3,497096.56,231887.48,52
